Paddle Number,Paddle End (A/B),Paddle End Location,Panel Number,Panel Center,Paddle Location in Panel ,Cable length (cm),RAT Number,LTB Number-Channel,RB Number-Channel,DSI Card Slot,LTB Harting Connection,RB Harting Connection,PB Number-Channel,PB controlled by which RB,LTB controlled by which RB,Panel Type,RB Harting connection split
,,relative to paddle center,diagrams of panel locations (up to date as far as I know) can be found here      ,*need to get this + determine origin,*need to get actual measurements,Signal cables -- pwr cables have different lengths,comes from this spreadsheet,LTB Number = RAT Box Number. Matches PB Number-Channel. comes from this spreadsheet SMA-LG tabs,"RB Numbers are based on BOARD ID (not RAT). RAT-RB connection comes from this spreadsheet SMA-HG tabs, but need to determine actual RB IDs in the positions RB1 and RB2 and use this diagram to get RB channel.  should now be correct",assigned by SNF July 2023,assigned by SNF July 2023,assigned by SNF July 2023,"PB Number = BOARD ID (not RAT). connection comes from this spreadsheet, but need to know actual PB ID in the RAT for proper lookup table to be used.",PB is controlled by the RB closest to it in the stack (RB2 from this diagram) ,LTB is controlled by the RB closest to it in the stack (RB1 from this diagram) ,"cube top, cube side, cortina, umbrella, corner, cube bottom","Y-split for RB Harting cable, A || B ""A"" is RB1/closer to LTB. ""B"" is RB2/closer to the PB"
1,A,+Y,1,,+6X,330,8,8-11,25-05,2,J3,J3,04-11,16,25,cube top,A
1,B,-Y,1,,+6X,330,8,8-12,25-06,2,J3,J3,04-12,16,25,cube top,A
2,A,+Y,1,,+5X,330,8,8-09,16-05,2,J3,J3,04-09,16,25,cube top,B
2,B,-Y,1,,+5X,330,8,8-10,16-06,2,J3,J3,04-10,16,25,cube top,B
3,A,+Y,1,,+4X,330,8,8-07,25-03,2,J3,J3,04-07,16,25,cube top,A
3,B,-Y,1,,+4X,330,8,8-08,25-04,2,J3,J3,04-08,16,25,cube top,A
4,A,+Y,1,,+3X,375,8,8-05,16-03,2,J3,J3,04-05,16,25,cube top,B
4,B,-Y,1,,+3X,375,8,8-06,16-04,2,J3,J3,04-06,16,25,cube top,B
5,A,+Y,1,,+2X,375,8,8-03,25-01,2,J3,J3,04-03,16,25,cube top,A
5,B,-Y,1,,+2X,375,8,8-04,25-02,2,J3,J3,04-04,16,25,cube top,A
6,A,+Y,1,,+1X,375,8,8-01,16-01,2,J3,J3,04-01,16,25,cube top,B
6,B,-Y,1,,+1X,375,8,8-02,16-02,2,J3,J3,04-02,16,25,cube top,B
7,A,+Y,1,,-1X,375,16,16-16,46-08,4,J1,J1,12-16,46,44,cube top,B
7,B,-Y,1,,-1X,375,16,16-15,46-07,4,J1,J1,12-15,46,44,cube top,B
8,A,+Y,1,,-2X,375,16,16-14,44-08,4,J1,J1,12-14,46,44,cube top,A
8,B,-Y,1,,-2X,375,16,16-13,44-07,4,J1,J1,12-13,46,44,cube top,A
9,A,+Y,1,,-3X,375,16,16-12,46-06,4,J1,J1,12-12,46,44,cube top,B
9,B,-Y,1,,-3X,375,16,16-11,46-05,4,J1,J1,12-11,46,44,cube top,B
10,A,+Y,1,,-4X,330,16,16-10,44-06,4,J1,J1,12-10,46,44,cube top,A
10,B,-Y,1,,-4X,330,16,16-09,44-05,4,J1,J1,12-09,46,44,cube top,A
11,A,+Y,1,,-5X,330,16,16-08,46-04,4,J1,J1,12-08,46,44,cube top,B
11,B,-Y,1,,-5X,330,16,16-07,46-03,4,J1,J1,12-07,46,44,cube top,B
12,A,+Y,1,,-6X,330,16,16-06,44-04,4,J1,J1,12-06,46,44,cube top,A
12,B,-Y,1,,-6X,330,16,16-05,44-03,4,J1,J1,12-05,46,44,cube top,A
13,A,-Y,2,,+6X,240,10,10-02,11-02,2,J5,J5,15-02,1,11,cube bottom,A
13,B,+Y,2,,+6X,240,10,10-01,11-01,2,J5,J5,15-01,1,11,cube bottom,A
14,A,-Y,2,,+5X,265,10,10-04,01-02,2,J5,J5,15-04,1,11,cube bottom,B
14,B,+Y,2,,+5X,265,10,10-03,01-01,2,J5,J5,15-03,1,11,cube bottom,B
15,A,-Y,2,,+4X,265,10,10-06,11-04,2,J5,J5,15-06,1,11,cube bottom,A
15,B,+Y,2,,+4X,265,10,10-05,11-03,2,J5,J5,15-05,1,11,cube bottom,A
16,A,-Y,2,,+3X,295,10,10-08,01-04,2,J5,J5,15-08,1,11,cube bottom,B
16,B,+Y,2,,+3X,295,10,10-07,01-03,2,J5,J5,15-07,1,11,cube bottom,B
